worker_id,date,hours_worked,consecutive_work_days,total_distance_km,avg_speed_kmh,break_minutes,late_night_hours,fatigue_score,is_fatigued
W00000,2026-01-01,13.2,7,36.8,34.9,84,2.2,0.662,True
W00000,2026-01-02,6.2,7,55.2,27.2,71,0.3,0.444,False
W00000,2026-01-04,7.9,13,184.7,31.4,108,2.5,0.711,True
W00000,2026-01-05,2.4,6,123.4,24.6,28,0.8,0.289,False
W00000,2026-01-06,5.3,2,13.3,39.5,64,0.8,0.237,False
W00000,2026-01-07,3.1,3,42.1,37.9,19,0.6,0.204,False
W00000,2026-01-08,7.5,3,62.5,28.7,48,1.2,0.342,False
W00000,2026-01-10,6.7,3,63.9,39.5,7,1.9,0.317,False
W00000,2026-01-11,4.3,12,70.8,24.0,106,1.4,0.563,False
W00000,2026-01-14,11.4,14,126.9,23.9,119,3.3,0.856,True
W00000,2026-01-15,5.2,12,115.3,46.8,41,0.7,0.591,False
W00000,2026-01-17,6.5,12,149.5,42.8,35,2.1,0.632,False
W00000,2026-01-18,12.8,7,33.8,21.1,45,2.6,0.65,False
W00000,2026-01-19,2.5,12,98.2,12.6,28,0.6,0.507,False
W00000,2026-01-20,6.4,12,35.9,31.1,13,0.1,0.629,False
W00000,2026-01-23,7.7,9,200.0,44.9,51,1.7,0.562,False
W00000,2026-01-24,10.3,3,97.5,24.2,66,0.5,0.429,False
W00000,2026-01-25,8.5,7,41.4,42.9,14,1.3,0.516,False
W00000,2026-01-26,5.9,4,128.5,20.8,16,0.3,0.327,False
W00000,2026-01-27,9.4,4,189.2,44.2,68,0.6,0.437,False
W00000,2026-01-29,4.5,9,154.2,26.2,50,0.7,0.462,False
W00000,2026-01-30,15.5,4,166.6,49.7,60,5.8,0.627,False
W00000,2026-02-02,4.9,4,117.4,14.9,50,0.5,0.296,False
W00000,2026-02-03,7.9,1,158.0,24.1,39,0.3,0.283,False
W00000,2026-02-04,10.0,8,69.3,35.0,2,2.7,0.598,False
W00000,2026-02-05,3.3,8,75.9,40.8,84,1.0,0.389,False
W00000,2026-02-06,9.6,2,18.5,12.2,18,1.1,0.371,False
W00000,2026-02-09,15.1,3,48.3,25.4,98,0.6,0.579,False
W00000,2026-02-10,7.6,9,85.6,22.2,115,1.5,0.559,False
W00000,2026-02-12,14.4,7,41.5,28.8,16,0.7,0.7,True
W00000,2026-02-14,12.9,10,144.5,24.1,64,2.7,0.76,True
W00000,2026-02-15,7.3,11,118.0,47.8,72,2.9,0.621,False
W00000,2026-02-17,8.8,3,163.0,18.1,118,3.2,0.382,False
W00000,2026-02-18,7.9,10,170.1,31.9,97,0.3,0.604,False
W00000,2026-02-19,4.6,12,96.9,45.2,117,0.5,0.572,False
