worker_id,date,platform,amount,trips_completed,hours_worked,source
W00000,2026-01-01,zomato,798.83,9,4.1,manual_entry
W00000,2026-01-02,zomato,1159.58,6,13.9,sms_parse
W00000,2026-01-05,zomato,573.49,6,11.5,manual_entry
W00000,2026-01-06,zomato,252.77,12,4.2,manual_entry
W00000,2026-01-07,zomato,124.45,6,3.7,sms_parse
W00000,2026-01-11,zomato,216.21,7,5.7,manual_entry
W00000,2026-01-12,zomato,187.17,3,9.8,manual_entry
W00000,2026-01-13,zomato,1039.32,6,4.1,screenshot_ocr
W00000,2026-01-18,zomato,1098.97,11,9.5,manual_entry
W00000,2026-01-21,zomato,440.82,7,3.5,screenshot_ocr
W00000,2026-01-25,zomato,1115.99,1,12.4,sms_parse
W00000,2026-01-26,zomato,943.43,12,2.2,manual_entry
W00000,2026-01-29,zomato,394.93,5,2.3,screenshot_ocr
W00000,2026-01-31,zomato,438.01,10,12.7,screenshot_ocr
W00000,2026-02-03,zomato,749.73,15,2.3,sms_parse
W00000,2026-02-04,zomato,884.07,11,5.3,screenshot_ocr
W00000,2026-02-07,zomato,578.13,7,8.3,screenshot_ocr
W00000,2026-02-09,zomato,441.79,12,6.2,manual_entry
W00000,2026-02-12,zomato,659.2,1,7.3,screenshot_ocr
W00000,2026-02-14,zomato,263.97,8,2.8,manual_entry
W00000,2026-02-16,zomato,844.6,12,3.5,sms_parse
W00000,2026-02-17,zomato,1112.79,15,10.6,sms_parse
W00000,2026-02-21,zomato,431.92,1,8.5,screenshot_ocr
W00000,2026-02-22,zomato,346.95,9,11.8,manual_entry
W00000,2026-02-24,zomato,805.92,4,10.7,sms_parse
W00000,2026-02-27,zomato,721.94,3,6.1,manual_entry
W00000,2026-03-01,zomato,457.58,15,10.7,manual_entry
W00000,2026-03-05,zomato,342.91,9,3.6,sms_parse
W00000,2026-03-06,zomato,1304.77,10,4.9,screenshot_ocr
W00000,2026-03-07,zomato,526.31,4,10.1,manual_entry
W00000,2026-03-08,zomato,859.26,7,11.6,manual_entry
W00000,2026-03-09,zomato,737.81,12,6.1,manual_entry
W00000,2026-03-10,zomato,470.51,1,11.8,manual_entry
W00000,2026-03-12,zomato,1017.13,1,12.7,manual_entry
W00000,2026-03-15,zomato,987.81,2,5.2,screenshot_ocr
W00000,2026-03-17,zomato,798.88,12,10.9,manual_entry
W00000,2026-03-18,zomato,568.58,9,5.9,manual_entry
W00000,2026-03-19,zomato,614.16,13,8.2,sms_parse
W00000,2026-03-20,zomato,331.81,3,2.4,screenshot_ocr
W00000,2026-03-21,zomato,341.81,7,8.3,sms_parse
W00000,2026-03-22,zomato,467.94,13,8.8,sms_parse
W00000,2026-03-23,zomato,1009.79,14,11.3,sms_parse
W00000,2026-03-24,zomato,937.43,9,10.9,manual_entry
W00000,2026-03-26,zomato,369.53,9,8.7,screenshot_ocr
W00000,2026-03-28,zomato,346.2,12,8.5,sms_parse
W00000,2026-03-31,zomato,778.13,10,2.0,screenshot_ocr
W00001,2026-01-05,swiggy,611.01,4,10.0,sms_parse
W00001,2026-01-05,zomato,1240.83,9,13.4,screenshot_ocr
W00001,2026-01-07,zomato,3000.67,7,13.6,manual_entry
W00001,2026-01-08,zomato,1131.23,14,12.3,screenshot_ocr
W00001,2026-01-08,swiggy,943.11,7,6.1,screenshot_ocr
W00001,2026-01-11,zomato,1353.25,2,8.9,sms_parse
W00001,2026-01-11,swiggy,1041.87,8,13.2,sms_parse
W00001,2026-01-22,zomato,856.19,14,5.4,manual_entry
W00001,2026-01-22,swiggy,521.52,10,4.1,sms_parse
W00001,2026-01-24,swiggy,462.26,13,7.7,manual_entry
W00001,2026-01-24,zomato,825.61,11,5.5,screenshot_ocr
W00001,2026-01-29,swiggy,1065.01,6,13.1,manual_entry
W00001,2026-01-29,zomato,566.43,12,8.6,screenshot_ocr
W00001,2026-01-30,swiggy,1094.87,14,13.4,sms_parse
W00001,2026-01-30,zomato,433.24,5,9.2,sms_parse
W00001,2026-01-31,zomato,906.96,4,7.9,sms_parse
W00001,2026-02-02,zomato,648.64,1,5.0,manual_entry
W00001,2026-02-02,swiggy,765.86,13,4.3,sms_parse
W00001,2026-02-08,zomato,877.71,3,7.8,screenshot_ocr
W00001,2026-02-08,swiggy,784.07,12,5.1,manual_entry
W00001,2026-02-10,swiggy,563.51,13,5.7,manual_entry
W00001,2026-02-10,zomato,403.8,2,13.7,screenshot_ocr
W00001,2026-02-15,swiggy,1559.37,3,12.2,sms_parse
W00001,2026-02-16,zomato,664.81,10,3.8,screenshot_ocr
W00001,2026-02-16,swiggy,682.87,3,10.3,manual_entry
W00001,2026-02-19,swiggy,1854.04,9,6.9,manual_entry
W00001,2026-02-22,swiggy,548.38,15,12.6,manual_entry
W00001,2026-02-22,zomato,758.09,9,3.3,screenshot_ocr
W00001,2026-02-23,zomato,384.63,14,6.0,screenshot_ocr
W00001,2026-02-23,swiggy,662.24,9,11.5,manual_entry
W00001,2026-02-25,zomato,662.08,7,4.3,manual_entry
W00001,2026-02-28,zomato,360.15,12,10.8,manual_entry
W00001,2026-02-28,swiggy,405.84,10,8.5,sms_parse
W00001,2026-03-02,zomato,333.49,7,9.7,screenshot_ocr
W00001,2026-03-02,swiggy,681.13,10,4.8,sms_parse
W00001,2026-03-03,swiggy,609.7,3,10.9,sms_parse
W00001,2026-03-03,zomato,906.72,14,3.6,screenshot_ocr
W00001,2026-03-06,swiggy,737.5,9,13.3,manual_entry
W00001,2026-03-09,swiggy,1131.42,3,4.2,manual_entry
W00001,2026-03-15,zomato,312.2,11,12.5,manual_entry
W00001,2026-03-15,swiggy,673.54,4,3.4,manual_entry
W00001,2026-03-21,zomato,217.23,6,12.8,sms_parse
W00001,2026-03-21,swiggy,331.87,6,12.1,screenshot_ocr
W00001,2026-03-23,swiggy,2074.97,15,7.4,manual_entry
W00001,2026-03-24,swiggy,494.69,5,7.5,manual_entry
W00001,2026-03-24,zomato,321.24,5,3.6,sms_parse
W00001,2026-03-28,swiggy,517.15,3,2.4,screenshot_ocr
W00001,2026-03-28,zomato,413.77,7,11.2,manual_entry
W00002,2026-01-02,dunzo,1408.57,8,5.2,manual_entry
W00002,2026-01-03,dunzo,644.03,11,11.6,sms_parse
W00002,2026-01-03,zepto,1216.71,9,2.0,sms_parse
W00002,2026-01-06,dunzo,1311.39,2,8.1,screenshot_ocr
W00002,2026-01-07,dunzo,1203.3,4,11.7,sms_parse
W00002,2026-01-07,zepto,882.44,12,7.0,manual_entry
W00002,2026-01-10,dunzo,230.64,12,11.5,screenshot_ocr
W00002,2026-01-10,zepto,322.96,7,9.6,screenshot_ocr
W00002,2026-01-13,zepto,685.3,10,13.2,sms_parse
W00002,2026-01-13,dunzo,546.14,5,13.3,sms_parse
W00002,2026-01-16,dunzo,1359.69,14,3.9,sms_parse
W00002,2026-01-17,dunzo,2024.11,3,3.7,manual_entry
W00002,2026-01-18,zepto,2290.12,12,13.0,manual_entry
W00002,2026-01-20,dunzo,312.58,11,11.1,screenshot_ocr
W00002,2026-01-20,zepto,544.68,3,10.4,manual_entry
