worker_id,city,platforms,num_platforms,avg_rating,account_age_days,is_active
W00000,Kolkata,zomato,1,3.2,1209,True
W00001,Jaipur,"zomato,swiggy",2,4.24,609,True
W00002,Hyderabad,"dunzo,zepto",2,4.38,322,True
W00003,Jaipur,"ola,uber,rapido",3,4.11,238,True
W00004,Pune,"ola,zomato,dunzo",3,4.57,485,False
W00005,Hyderabad,"zepto,swiggy,rapido",3,4.07,201,True
W00006,Ahmedabad,zomato,1,3.16,926,True
W00007,Kolkata,"dunzo,blinkit,uber",3,3.03,529,True
W00008,Jaipur,"dunzo,rapido",2,4.29,139,True
W00009,Delhi,"zomato,swiggy",2,3.24,745,True
W00010,Kolkata,"zepto,blinkit,uber",3,4.66,646,True
W00011,Hyderabad,"rapido,dunzo,zepto,blinkit",4,3.09,620,False
W00012,Mumbai,zepto,1,3.48,821,True
W00013,Pune,rapido,1,4.48,1328,True
W00014,Lucknow,"zepto,uber,blinkit",3,3.43,740,True
W00015,Kolkata,"blinkit,zepto",2,3.8,339,True
W00016,Chennai,"zomato,swiggy,dunzo",3,3.74,724,True
W00017,Hyderabad,ola,1,3.21,665,True
W00018,Chennai,"ola,swiggy,dunzo",3,4.31,784,True
W00019,Chennai,"zepto,dunzo",2,4.0,870,True
W00020,Bangalore,"rapido,zomato,zepto",3,3.62,1500,True
W00021,Pune,zepto,1,4.9,1291,False
W00022,Delhi,"blinkit,swiggy,ola",3,4.88,103,True
W00023,Mumbai,"dunzo,ola,blinkit,uber",4,3.7,1102,True
W00024,Mumbai,"zepto,ola,swiggy",3,3.93,891,True
W00025,Mumbai,"zomato,dunzo,uber,swiggy",4,4.7,905,True
W00026,Ahmedabad,swiggy,1,4.96,1275,True
W00027,Ahmedabad,"swiggy,ola,uber",3,4.5,1077,True
W00028,Delhi,zomato,1,4.3,1028,True
W00029,Ahmedabad,"zepto,dunzo",2,4.37,163,True
W00030,Chennai,zomato,1,4.81,1388,True
W00031,Hyderabad,"ola,blinkit",2,4.82,1116,True
W00032,Jaipur,zepto,1,3.09,999,True
W00033,Delhi,ola,1,3.45,511,True
W00034,Chennai,"uber,zomato,dunzo",3,3.85,234,True
W00035,Bangalore,"swiggy,zomato,rapido",3,4.69,751,True
W00036,Lucknow,"ola,swiggy,zomato",3,3.7,731,True
W00037,Kolkata,ola,1,3.68,1325,True
W00038,Bangalore,"dunzo,uber,zepto",3,4.82,155,True
W00039,Kolkata,"swiggy,dunzo,blinkit,rapido",4,3.54,1353,False
W00040,Lucknow,"rapido,dunzo,uber,zepto",4,3.58,973,True
W00041,Ahmedabad,"swiggy,rapido,blinkit",3,3.96,935,True
W00042,Mumbai,"zomato,swiggy",2,4.41,358,True
W00043,Delhi,zomato,1,3.88,1048,True
